DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2014-12-20,297.28404,101.75317,185.75648,8.47244,0.0,111.52756,8.17833,82.1005,0.0,0.0,0.0
2014-12-21,298.24608,101.72497,185.9534,8.50074,0.0,112.29268,9.91452,82.87981,0.0,0.0,0.0
2014-12-22,299.13119,101.69922,186.17072,8.49912,0.0,112.96047,10.4527,83.53528,0.0,0.0,0.0
2014-12-23,300.00119,101.67369,186.40802,8.43075,0.6546929166666666,113.59317,9.7048,84.1665,0.0,0.0,0.0
2014-12-24,300.82987,101.64975,186.6436,8.35511,0.68901875,114.18627,9.20488,84.7522,0.0,0.0,0.0
2014-12-25,301.63546,101.6269,186.87214,8.30989,0.683051875,114.76332,9.35308,85.34359,0.0,0.0,0.0
2014-12-26,302.41418,101.60423,187.02082,8.28252,0.6919308333333334,115.39336,8.94832,85.96208,0.0,0.0,0.0
2014-12-27,303.1688,101.58246,187.20996,8.23788,0.7265552083333333,115.95884,6.34935,86.5229,0.0,0.0,0.0
2014-12-28,303.9,101.56134,187.37378,8.24591,0.6520739583333334,116.52622,8.14899,87.09047,0.0,0.0,0.0
2014-12-29,304.61012,101.54129,187.51639,8.25647,0.6153314583333334,117.09373,10.00093,87.21703,0.0,0.0,0.0
2014-12-30,305.28894,101.52163,187.64995,8.26715,0.5811489583333334,117.63899,9.61206,88.18861,0.0,0.0,0.0
2014-12-31,305.91604,101.50257,187.78877,8.27216,0.535515,118.12727,10.03173,88.68773,0.0,0.0,0.0
2015-01-01,265.15031938005393,104.73783609164421,184.60365094339622,12.586624986522912,3.32754125,80.54666843665768,16.808275714285713,51.56615064690027,29.34,5236.8,0.6
2015-01-02,267.8295116666667,104.95277125,186.056110625,15.303206666666666,7.0839429166666665,81.77340104166667,18.781087083333333,53.11500395833333,159.18,23932.65,5.04
2015-01-03,242.90214229166668,106.28754208333334,175.37279270833332,25.837966875,8.967563958333333,67.52934958333333,26.092273333333335,38.620416041666665,207.72,33677.2,6.22
2015-01-04,238.77793708333334,106.5016175,177.280278125,26.555065625,9.089299166666667,61.49765895833333,27.778884375,32.811210208333335,206.42,30246.43,6.3
